OECD Development Cooperation Directorate (DCD-DAC),,,,,,,,,,,,,,,,
Single table - for 2025 data,,,, ,,,,,,,,,,,,
including codes for channel pilot project,,,,,,,,,,,,,,,,
Updated January 2026,,,,,,,,,,,,,,,,
https://www.oecd.org/en/topics/sub-issues/oda-eligibility-and-conditions/dac-list-of-oda-recipients.html,,,,,,,,,,,,,Work in progress,,,
,,,,,,,,,,,,,For non-reporting organisations,,,
61000,61003,2025,,Investment funds and other collective investment institutions,,Fonds d’investissements et autres organismes de placement collectifs,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
61000,61004,2025,,"Holding companies, trusts and Special Purpose Vehicles",,"Sociétés holding, fonds fiduciaires et structures de titrisation",,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
61000,61005,2025,,Insurance Corporations,,Sociétés d’assurance,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
61000,61006,2025,,Pension Funds,,Fonds de pension,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
61000,61007,2025,,Other financial corporations,,Autres sociétés financières,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
61000,61008,2025,,Exporters,,Exportateurs,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
61000,61009,2025,,Other non-financial corporations,,Autres sociétés non financières,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
61000,61010,2025,,Retail investors,,Investisseurs individuels,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
60000,62000,,,Private sector in recipient country,,Secteur privé du pays bénéficiaire,,,,,,,,,,
62000,62001,2025,,Banks (deposit taking corporations except Micro Finance Institutions),,Banques (institutions de dépôts hors institutions de microfinancement),,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62002,2025,,Micro Finance Institutions (deposit and non-deposit),,Institutions de microfinancement (collectant ou pas des dépôts),,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62003,2025,,Investment funds and other collective investment institutions,,Fonds d’investissements et autres organismes de placement collectifs,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62004,2025,,"Holding companies, trusts and Special Purpose Vehicles",,"Sociétés holding, fonds fiduciaires et structures de titrisation",,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62005,2025,,Insurance Corporations,,Sociétés d’assurance,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62006,2025,,Pension Funds,,Fonds de pension,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62007,2025,,Other financial corporations,,Autres sociétés financières,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62008,2025,,Importers/Exporters,,Importateurs / Exportateurs,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62009,2025,,Other non-financial corporations,,Autres sociétés non financières,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
62000,62010,2025,,Retail investors,,Investisseurs individuels,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
60000,63000,,,Private sector in third country,,Secteur privé d'un pays tiers,,,,,,,,,,
63000,63001,2025,,Banks (deposit taking corporations except Micro Finance Institutions),,Banques (institutions de dépôts hors institutions de microfinancement),,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63002,2025,,Micro Finance Institutions (deposit and non-deposit),,Institutions de microfinancement (collectant ou pas des dépôts),,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63003,2025,,Investment funds and other collective investment institutions,,Fonds d’investissements et autres organismes de placement collectifs,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63004,2025,,"Holding companies, trusts and Special Purpose Vehicles",,"Sociétés holding, fonds fiduciaires et structures de titrisation",,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63005,2025,,Insurance Corporations,,Sociétés d’assurance,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63006,2025,,Pension Funds,,Fonds de pension,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63007,2025,,Other financial corporations,,Autres sociétés financières,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63008,2025,,Exporters,,Exportateurs,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63009,2025,,Other non-financial corporations,,Autres sociétés non financières,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
63000,63010,2025,,Retail investors,,Investisseurs individuels,,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
90000,90000,,,Other,,Autre,,,,,,,,,,
